,Mean,Max,Min
355,38.75,42.0,37.0
356,37.0,39.0,36.0
357,36.0,37.0,35.0
358,36.0,37.0,34.0
359,35.5,37.0,33.0
360,33.5,36.0,32.0
361,30.75,34.0,29.0
362,30.75,33.0,30.0
363,32.75,35.0,32.0
364,34.75,37.0,34.0
365,36.25,39.0,34.0
366,38.5,41.0,36.0
367,40.25,45.0,37.0
368,41.75,48.0,39.0
369,44.25,52.0,41.0
370,44.75,52.0,41.0
371,46.0,53.0,43.0
372,45.25,51.0,41.0
373,45.75,51.0,43.0
374,45.25,52.0,41.0
375,42.0,44.0,41.0
376,43.5,49.0,41.0
377,43.5,50.0,41.0
378,42.75,48.0,41.0
379,41.25,46.0,39.0
380,40.5,46.0,37.0
381,39.5,45.0,37.0
382,39.0,44.0,37.0
383,39.0,44.0,37.0
384,39.0,44.0,37.0
385,39.0,44.0,37.0
